,College_Name,One_Year_Fee,Enterance_Exam,Rating,Review_Counts,Approved_By,Place,More_Details
0,BITS Pilani (Pilani Campus),"₹ 541,575",BITSAT, 8.8 ,(501 Reviews),['UGC'],"Pilani,Rajasthan",https://collegedunia.com/university/25800-bits-pilani-pilani-campus-pilani
1,Institute of Chemical Technology - [ICT],"₹ 89,100",JEE MAIN, 8.7 ,(45 Reviews),"['UGC, NBA, MHRD']","Mumbai,Maharashtra",https://collegedunia.com/university/25705-institute-of-chemical-technology-ict-mumbai
2,Woxsen University,"₹ 372,500",VITEEE, 8.2 ,(138 Reviews),"['AICTE, COA, NBA, AACSB, AMBA']","Hyderabad,Telangana",https://collegedunia.com/university/60661-woxsen-university-hyderabad
3,Vellore Institute of Technology - [VIT University],"₹ 198,000",VITEEE, 8.4 ,(1660 Reviews),"['AICTE, UGC']","Vellore,TamilNadu",https://collegedunia.com/university/25914-vellore-institute-of-technology-vit-university-vellore
4,East Point Group of Institutions - [EPGI],"₹ 250,000",COMEDK UGET, 7.2 ,(93 Reviews),"['AICTE, NBA']","Bangalore,Karnataka",https://collegedunia.com/college/13428-east-point-group-of-institutions-epgi-bangalore
5,Thapar Institute of Engineering and Technology - [Thapar University],"₹ 413,600",JEE MAIN, 8.1 ,(526 Reviews),['AICTE'],"Patiala,Punjab",https://collegedunia.com/university/25795-thapar-institute-of-engineering-and-technology-thapar-university-patiala
6,Parul University,"₹ 86,000",JEE MAIN, 8.1 ,(526 Reviews),['AICTE'],"Patiala,Punjab",https://collegedunia.com/university/25795-thapar-institute-of-engineering-and-technology-thapar-university-patiala
7,Indian Institute of Space Science and Technology - [IIST],"₹ 144,900",JEE ADVANCED, 8.4 ,(44 Reviews),"['AICTE, UGC']","Thiruvananthapuram,Kerala",https://collegedunia.com/university/25642-indian-institute-of-space-science-and-technology-iist-thiruvananthapuram
8,Institute of Technical Education and Research - [ITER],"₹ 235,000",SAAT, 8.2 ,(469 Reviews),"['AICTE, UGC']","Bhubaneswar,Orissa",https://collegedunia.com/college/13860-institute-of-technical-education-and-research-iter-bhubaneswar
9,Birla Institute of Technology - [BIT Mesra],"₹ 303,500",JEE MAIN, 7.3 ,(550 Reviews),"['AICTE, PCI, UGC, NBA']","Ranchi,Jharkhand",https://collegedunia.com/university/13088-birla-institute-of-technology-bit-mesra-ranchi
10,Delhi Technological University - [DTU],"₹ 219,000",JEE MAIN, 8.2 ,(795 Reviews),"['UGC, NBA']","NewDelhi,DelhiNCR",https://collegedunia.com/university/25449-delhi-technological-university-dtu-new-delhi
11,Amity University,"₹ 311,000",AMITY JEE, 8.1 ,(2020 Reviews),"['NCTE, AICTE, COA, BCI, UGC']","Noida,UttarPradesh",https://collegedunia.com/university/54797-amity-university-noida
12,SRM Engineering College,"₹ 260,000",SRMJEEE, 7.3 ,(19 Reviews),"['AICTE, UGC, MHRD']","Kanchipuram,TamilNadu",https://collegedunia.com/college/28254-srm-engineering-college-kanchipuram
13,SSN College of Engineering - [SSNCE],"₹ 50,000",TNEA, 8.3 ,(91 Reviews),['AICTE'],"Chennai,TamilNadu",https://collegedunia.com/college/14867-ssn-college-of-engineering-ssnce-chennai
14,SASTRA University,"₹ 167,000",JEE MAIN, 8.3 ,(91 Reviews),['AICTE'],"Chennai,TamilNadu",https://collegedunia.com/college/14867-ssn-college-of-engineering-ssnce-chennai
15,Manipal Institute of Technology - [MIT],"₹ 335,000",MET, 8.6 ,(289 Reviews),"['AICTE, NBA']","Manipal,Karnataka",https://collegedunia.com/college/14265-manipal-institute-of-technology-mit-manipal
16,P.S.G College of Technology - [PSGCT],"₹ 88,140",TNEA, 8.8 ,(98 Reviews),['AICTE'],"Coimbatore,TamilNadu",https://collegedunia.com/college/24312-psg-college-of-technology-psgct-coimbatore
17,Sathyabama Institute of Science and Technology,"₹ 80,000",SAEEE, 7.9 ,(415 Reviews),"['DCI, AICTE, COA, PCI, INC']","Chennai,TamilNadu",https://collegedunia.com/university/25897-sathyabama-institute-of-science-and-technology-chennai
18,Kalinga Institute of Industrial Technology - [KIIT],"₹ 428,000",KIITEE, 8.5 ,(1007 Reviews),"['DCI, AICTE, INC, MCI, BCI']","Bhubaneswar,Orissa",https://collegedunia.com/university/25760-kalinga-institute-of-industrial-technology-kiit-bhubaneswar
19,K L University - [KLU],"₹ 275,000",KLUEEE, 8.3 ,(456 Reviews),"['AICTE, COA, PCI, UGC']","Guntur,AndhraPradesh",https://collegedunia.com/university/25362-k-l-university-klu-guntur
20,Kalasalingam Academy of Research and Education,"₹ 120,600",TNEA, 7 ,(174 Reviews),"['UGC, NBA']","Krishnankovil,TamilNadu",https://collegedunia.com/university/25883-kalasalingam-academy-of-research-and-education-krishnankovil
21,R V College of Engineering - [RVCE],"₹ 1,900,000",COMEDK UGET, 7.9 ,(290 Reviews),"['AICTE, NBA']","Bangalore,Karnataka",https://collegedunia.com/college/14673-r-v-college-of-engineering-rvce-bangalore
22,Ramaiah Institute of Technology - [RIT],"₹ 86,226",COMEDK UGET, 8 ,(376 Reviews),['NBA'],"Bangalore,Karnataka",https://collegedunia.com/college/5621-ramaiah-institute-of-technology-rit-bangalore
23,International Institute of Information Technology - [IIIT-B],"₹ 196,000",JEE MAIN, 8.6 ,(27 Reviews),"['AICTE, UGC']","Bangalore,Karnataka",https://collegedunia.com/university/25604-international-institute-of-information-technology-iiitb-bangalore
